기준년도,기준월,시군명,성별,학력,연령,노인수,일자리수
2021,5,가평군,계,,,16626,1988
2021,5,가평군,남,,,7656,478
2021,5,가평군,여,,,8970,1510
2021,5,고양시,계,,,149289,6523
2021,5,고양시,남,,,63910,1955
2021,5,고양시,여,,,85379,4568
2021,5,과천시,계,,,9694,369
2021,5,과천시,남,,,4227,100
2021,5,과천시,여,,,5467,269
2021,5,광명시,계,,,42123,2128
2021,5,광명시,남,,,18266,482
2021,5,광명시,여,,,23857,1646
2021,5,광주시,계,,,52902,1662
2021,5,광주시,남,,,24695,455
2021,5,광주시,여,,,28207,1207
2021,5,구리시,계,,,27339,2207
2021,5,구리시,남,,,12183,688
2021,5,구리시,여,,,15156,1519
2021,5,군포시,계,,,37160,2591
2021,5,군포시,남,,,16316,766
2021,5,군포시,여,,,20844,1825
2021,5,김포시,계,,,60157,2462
2021,5,김포시,남,,,26907,804
2021,5,김포시,여,,,33250,1658
2021,5,남양주시,계,,,103718,4181
2021,5,남양주시,남,,,45982,1448
2021,5,남양주시,여,,,57736,2733
2021,5,동두천시,계,,,19381,2081
2021,5,동두천시,남,,,8126,539
2021,5,동두천시,여,,,11255,1542
2021,5,부천시,계,,,114618,5607
2021,5,부천시,남,,,50977,1559
2021,5,부천시,여,,,63641,4048
2021,5,성남시,계,,,134474,5134
2021,5,성남시,남,,,59579,1289
2021,5,성남시,여,,,74895,3845
2021,5,수원시,계,,,134971,4942
2021,5,수원시,남,,,58638,1345
2021,5,수원시,여,,,76333,3597
2021,5,시흥시,계,,,48844,4615
2021,5,시흥시,남,,,21750,1209
2021,5,시흥시,여,,,27094,3406
2021,5,안산시,계,,,73808,4475
2021,5,안산시,남,,,32470,1121
2021,5,안산시,여,,,41338,3354
2021,5,안성시,계,,,33697,2435
2021,5,안성시,남,,,14820,688
2021,5,안성시,여,,,18877,1747
2021,5,안양시,계,,,77262,3706
2021,5,안양시,남,,,34482,959
2021,5,안양시,여,,,42780,2747
2021,5,양주시,계,,,37587,1841
2021,5,양주시,남,,,16897,537
2021,5,양주시,여,,,20690,1304
2021,5,양평군,계,,,31361,2494
2021,5,양평군,남,,,14464,655
2021,5,양평군,여,,,16897,1839
2021,5,여주시,계,,,25019,2928
2021,5,여주시,남,,,11401,810
2021,5,여주시,여,,,13618,2118
2021,5,연천군,계,,,11579,1193
2021,5,연천군,남,,,5120,252
2021,5,연천군,여,,,6459,941
2021,5,오산시,계,,,22802,1943
2021,5,오산시,남,,,9990,487
2021,5,오산시,여,,,12812,1456
2021,5,용인시,계,,,146318,4052
2021,5,용인시,남,,,64764,1238
2021,5,용인시,여,,,81554,2814
2021,5,의왕시,계,,,22669,2068
2021,5,의왕시,남,,,10266,631
2021,5,의왕시,여,,,12403,1437
2021,5,의정부시,계,,,71281,3258
2021,5,의정부시,남,,,30752,1006
2021,5,의정부시,여,,,40529,2252
2021,5,이천시,계,,,31870,2230
2021,5,이천시,남,,,14308,675
2021,5,이천시,여,,,17562,1555
2021,5,파주시,계,,,66333,2828
2021,5,파주시,남,,,28700,834
2021,5,파주시,여,,,37633,1994
2021,5,평택시,계,,,67614,3235
2021,5,평택시,남,,,29131,665
2021,5,평택시,여,,,38483,2570
2021,5,포천시,계,,,29977,1676
2021,5,포천시,남,,,13763,455
2021,5,포천시,여,,,16214,1221
2021,5,하남시,계,,,39024,1548
2021,5,하남시,남,,,18085,494
2021,5,하남시,여,,,20939,1054
2021,5,화성시,계,,,78862,3432
2021,5,화성시,남,,,35661,939
2021,5,화성시,여,,,43201,2493
